filename,notes,authors,licenses,urls
"body/bodies/male/walk/light.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16, JaidynReiman, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases"
"head/heads/human/male/walk/light.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-character-bases"
"hair/plain/adult/walk/black.png","","JaidynReiman, Manuel Riecke (MrBeast), Joe White","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/ponytail-and-plain-hairstyles, https://opengameart.org/content/lpc-expanded-hair"
"head/faces/global/happy2/walk/light.png","Original Bases by Redshrike, Alt Happy Expression by Laetissima and Pennomi, mapped to all frames by JaidynReiman","JaidynReiman, Thane Brimhall (pennomi), laetissima, Stephen Challener (Redshrike)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions, https://opengameart.org/content/ulpc-expanded-expressions"
"torso/clothes/longsleeve/longsleeve2_polo/male/walk/black.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"cape/solid/female/walk/black.png","","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates"
"cape/solid_behind/walk/black.png","","Nila122, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, https://opengameart.org/content/lpc-roman-armor"
"legs/pants/male/walk/black.png","original male pants by wulax, recolors and edits to v3 base by bluecarrot16, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised","bluecarrot16, JaidynReiman, ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 3.0, CC-BY-SA 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-expanded-pants"
"feet/boots/fold/male/walk/black.png","","JaidynReiman","OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0","https://opengameart.org/content/lpc-kimono-relm, https://opengameart.org/content/lpc-expanded-socks-shoes"
"facial/masks/plain/adult/walk/silver.png","","Nila122","OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0","https://opengameart.org/content/lpc-masks, https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
